fold,model,city,mae,rmse,mape
6,xrfm_cases_only,São Paulo,67.10682648878831,106.27482056510478,24.130376798859327
6,xrfm_cases_only,Vitória,1.5844982386781619,5.368044838517021,59.563752942615075
6,xrfm_cases_climate,Belo Horizonte,26.419866708608772,38.250405837495855,18.468719687753428
6,xrfm_cases_climate,Rio de Janeiro,9.765800109276405,11.122762298497978,107.75551977986369
6,xrfm_cases_climate,São Paulo,64.49312298114484,108.57824002928766,22.914396432236835
6,xrfm_cases_climate,Vitória,14.922619159405048,15.374550472598177,628.4723578559028
6,xrfm_cases_climate_sst,Belo Horizonte,25.62959282214825,37.02655452039819,17.893576138451074
6,xrfm_cases_climate_sst,Rio de Janeiro,9.692492375007042,11.039171098133659,107.64121209435325
6,xrfm_cases_climate_sst,São Paulo,63.19390693077674,104.92189662537027,22.754030567595656
6,xrfm_cases_climate_sst,Vitória,14.946378744565523,15.399728140874144,626.2126053704156
7,baseline,Belo Horizonte,107.34615384615384,131.96284442104266,42.31275242313437
7,baseline,Rio de Janeiro,134.17307692307693,167.54626226806732,81.57157832743293
7,baseline,São Paulo,380.0,641.8046072179242,49.0336914231767
7,baseline,Vitória,48.17307692307692,54.09944546850735,98.79615195266243
7,sarima,Vitória,40.44257326091565,47.46677325795478,79.36756308895193
7,sarima,Belo Horizonte,148.27108482837278,161.91900309571636,65.03712423039728
7,sarima,Rio de Janeiro,147.9564689864305,181.5507108744567,93.26341003473004
7,sarima,São Paulo,780.3606298134026,1156.4141082780247,89.82461193151909
7,xgb_cases_only,Belo Horizonte,46.87228877727802,62.02955421877533,18.580773874056593
7,xgb_cases_only,Rio de Janeiro,32.26557931074729,48.05724089343272,23.278141677913062
7,xgb_cases_only,São Paulo,167.28655037513147,262.6445556528148,24.28900912411708
7,xgb_cases_only,Vitória,13.152986233051006,19.620280779277927,26.09127095601692
7,xgb_cases_climate,Belo Horizonte,49.2819337111253,63.10117554467512,20.000351402692257
7,xgb_cases_climate,Rio de Janeiro,34.429685867749726,50.50483381341613,25.59964539855391
7,xgb_cases_climate,São Paulo,174.41073711101825,284.8725064308249,25.893754623373745
7,xgb_cases_climate,Vitória,12.850241807790903,18.196674872360415,26.069492171469648
7,xgb_cases_climate_sst,Belo Horizonte,42.36434907179613,57.46597213093568,17.09956205277058
7,xgb_cases_climate_sst,Rio de Janeiro,34.128456762203804,48.65040338812251,25.817579350822268
7,xgb_cases_climate_sst,São Paulo,174.13772084162787,287.98190967163424,25.461605751368676
7,xgb_cases_climate_sst,Vitória,12.494205163075375,17.072990889922036,26.693366998700384
7,xrfm_cases_only,Belo Horizonte,37.239044629610504,50.817732576754096,15.826067714446385
7,xrfm_cases_only,Rio de Janeiro,28.641549321321342,43.086411837051,18.758377577255413
7,xrfm_cases_only,São Paulo,122.55933600205641,206.51906831413132,24.329169838144516
7,xrfm_cases_only,Vitória,11.503683246099031,16.549379765739737,23.161304336666376
7,xrfm_cases_climate,Belo Horizonte,40.948092240553635,57.78770823663208,16.79221127936838
7,xrfm_cases_climate,Rio de Janeiro,27.837508568396935,42.10336712766804,19.682884974907626
7,xrfm_cases_climate,São Paulo,142.09010696411133,232.2472631924389,26.125249708546928
7,xrfm_cases_climate,Vitória,10.860285685612606,16.30686602901387,24.044406889573057
7,xrfm_cases_climate_sst,Belo Horizonte,46.98140907287598,59.6842317009298,18.999921617571818
7,xrfm_cases_climate_sst,Rio de Janeiro,35.80736464720506,55.14403072536577,22.710694100544433
7,xrfm_cases_climate_sst,São Paulo,283.33289058391864,444.9387555508607,36.77638520782056
7,xrfm_cases_climate_sst,Vitória,12.36488859470074,18.596197844337322,24.814202790578975
8,baseline,Belo Horizonte,1066.698113207547,1659.9665659283623,66.18376366719893
8,baseline,Rio de Janeiro,753.4716981132076,875.9338736134117,82.48844835686091
8,baseline,São Paulo,552.9245283018868,730.9740851819216,44.839837322895356
8,baseline,Vitória,384.37735849056605,511.4964357388866,80.17747961747357
8,sarima,Vitória,316.78744134525095,422.62432665201135,66.46630309784469
8,sarima,Belo Horizonte,963.7324886204939,1498.7164920671912,65.35111311612687
8,sarima,Rio de Janeiro,653.320676232391,784.2840604552534,67.5608694788506
8,sarima,São Paulo,999.101074860377,1168.2990785999957,78.62700122479949
8,xgb_cases_only,Belo Horizonte,250.9651143775796,519.0717584663454,16.9578322552677
8,xgb_cases_only,Rio de Janeiro,183.62693585089917,280.78549007065044,18.993983814488292
8,xgb_cases_only,São Paulo,228.08446718611808,360.5730115646818,18.388142318916493
8,xgb_cases_only,Vitória,63.79643076770711,98.92596732122405,14.374856987420284
8,xgb_cases_climate,Belo Horizonte,246.97343531194724,506.6483830077119,16.63989033514578
8,xgb_cases_climate,Rio de Janeiro,179.63830393665242,271.8535908132618,18.522305977733712
8,xgb_cases_climate,São Paulo,243.74502333155218,371.09079712707205,19.843996836824925
8,xgb_cases_climate,Vitória,61.58611484743514,97.55022955310432,14.213218425568378
