"SE" "temp_med" "casos" "pop"
"291" 201530 22.3663 296 6498837
"292" 201531 23.2008857142857 235 6498837
"293" 201532 22.0072285714286 298 6498837
"294" 201533 23.1948571428571 466 6498837
"295" 201534 21.8822 201 6498837
"296" 201535 22.2731285714286 263 6498837
"297" 201536 21.5386 139 6498837
"298" 201537 24.2642428571429 149 6498837
"299" 201538 25.5708857142857 113 6498837
"300" 201539 25.1903857142857 145 6498837
"301" 201540 23.4139142857143 126 6498837
"302" 201541 26.9789142857143 91 6498837
"303" 201542 24.1293285714286 123 6498837
"304" 201543 24.3723285714286 140 6498837
"305" 201544 25.0321625 133 6498837
"306" 201545 26.5192142857143 193 6498837
"307" 201546 26.2886428571429 176 6498837
"308" 201547 24.5008285714286 214 6498837
"309" 201548 23.8179714285714 222 6498837
"310" 201549 24.4453857142857 307 6498837
"311" 201550 26.2239 530 6498837
"312" 201551 26.2063428571429 332 6498837
"313" 201552 26.8962428571429 374 6498837
"314" 201601 24.7085 540 6498837
"315" 201602 25.3194428571429 489 6498837
"316" 201603 22.1424 561 6498837
"317" 201604 25.9725142857143 500 6498837
"318" 201605 28.7874857142857 528 6498837
"319" 201606 27.4795571428571 377 6498837
"320" 201607 25.5903 762 6498837
"321" 201608 25.7920571428571 846 6498837
"322" 201609 25.0860857142857 1020 6498837
"323" 201610 25.8543142857143 981 6498837
"324" 201611 24.0195571428571 1588 6498837
"325" 201612 24.8052 1483 6498837
"326" 201613 25.3334714285714 2849 6498837
"327" 201614 24.3362 3050 6498837
"328" 201615 27.0495714285714 2991 6498837
"329" 201616 26.0113 2110 6498837
"330" 201617 22.4208714285714 2693 6498837
"331" 201618 19.5986571428571 1473 6498837
"332" 201619 21.7888428571429 1458 6498837
"333" 201620 21.2558428571429 1476 6498837
"334" 201621 19.5521857142857 948 6498837
"335" 201622 20.8392857142857 594 6498837
"336" 201623 18.9789857142857 757 6498837
"337" 201624 15.6039 461 6498837
"338" 201625 18.5300285714286 311 6498837
"339" 201626 18.6406714285714 242 6498837
"340" 201627 18.8205428571429 279 6498837
"341" 201628 19.7804 231 6498837
"342" 201629 17.4207142857143 169 6498837
"343" 201630 18.3124571428571 171 6498837
"344" 201631 19.6906714285714 98 6498837
"345" 201632 18.9998285714286 88 6498837
"346" 201633 20.0120142857143 104 6498837
"347" 201634 18.3731285714286 81 6498837
"348" 201635 21.2135571428571 62 6498837
"349" 201636 21.3379 55 6498837
"350" 201637 22.1172571428571 46 6498837
"351" 201638 20.0947285714286 59 6498837
"352" 201639 18.6718 40 6498837
"353" 201640 19.4398714285714 34 6498837
"354" 201641 21.7247571428571 41 6498837
"355" 201642 24.4193 63 6498837
"356" 201643 22.0634285714286 59 6498837
"357" 201644 21.6132714285714 43 6498837
"358" 201645 22.8086857142857 52 6498837
"359" 201646 22.1137714285714 70 6498837
"360" 201647 21.6049714285714 87 6498837
"361" 201648 24.1194142857143 144 6498837
"362" 201649 23.0922571428571 124 6498837
"363" 201650 23.8843285714286 96 6498837
"364" 201651 24.9980142857143 131 6498837
"365" 201652 27.7600166666667 156 6498837
"366" 201701 27.4362 162 6498837
"367" 201702 25.8047285714286 176 6498837
"368" 201703 25.8526714285714 198 6498837
"369" 201704 26.1001714285714 296 6498837
"370" 201705 25.5530857142857 247 6498837
"371" 201706 25.5284428571429 256 6498837
"372" 201707 25.4399857142857 245 6498837
"373" 201708 25.2783428571429 172 6498837
"374" 201709 25.3017285714286 89 6498837
"375" 201710 26.1194571428571 170 6498837
"376" 201711 25.2496 152 6498837
"377" 201712 21.8279142857143 143 6498837
"378" 201713 21.9647428571429 128 6498837
"379" 201714 22.6971428571429 114 6498837
"380" 201715 23.5427428571429 93 6498837
"381" 201716 22.5196 115 6498837
"382" 201717 20.7065571428571 103 6498837
"383" 201718 19.9677 92 6498837
"384" 201719 20.4415714285714 98 6498837
"385" 201720 19.7954571428571 77 6498837
